TEAM,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,TOR,ORB,FTR,2P_O,3P_O,YEAR,OVER_.500
East Carolina,32.0,B,B,A,B,B,A,B,B,B,B,2016.0,FALSE
Houston,32.0,A,A,A,A,A,B,A,B,A,A,2016.0,TRUE
Memphis,34.0,A,A,B,A,B,B,A,A,B,B,2016.0,TRUE
SMU,30.0,A,A,B,A,A,A,A,B,A,A,2016.0,TRUE
South Florida,33.0,B,B,A,B,B,A,A,B,B,B,2016.0,FALSE
Tulane,34.0,B,B,B,B,B,A,A,B,B,B,2016.0,FALSE
UCF,30.0,B,B,B,B,B,A,A,A,A,B,2016.0,FALSE
Connecticut,32.0,B,A,B,A,B,B,A,B,B,A,2017.0,TRUE
East Carolina,33.0,B,B,B,B,B,A,A,A,B,B,2017.0,FALSE
Houston,32.0,A,A,B,A,A,B,A,B,B,A,2017.0,TRUE
Memphis,32.0,A,A,B,A,B,B,A,A,A,B,2017.0,TRUE
South Florida,30.0,B,B,A,B,B,A,A,B,B,A,2017.0,FALSE
Temple,32.0,B,A,B,A,B,B,B,B,B,A,2017.0,TRUE
Tulane,31.0,B,B,A,B,B,A,B,B,B,B,2017.0,FALSE
Tulsa,32.0,B,A,B,A,B,A,B,A,B,B,2017.0,FALSE
UCF,36.0,A,A,B,A,A,A,A,A,A,A,2017.0,TRUE
Connecticut,32.0,B,A,A,B,B,B,B,B,B,B,2018.0,FALSE
East Carolina,30.0,B,B,A,B,B,A,B,B,A,B,2018.0,FALSE
Memphis,34.0,A,A,A,A,A,A,A,A,A,B,2018.0,TRUE
SMU,33.0,A,A,B,A,A,B,A,B,B,A,2018.0,TRUE
South Florida,32.0,B,B,A,B,B,A,B,B,B,A,2018.0,FALSE
Temple,33.0,A,A,B,A,B,B,B,B,B,A,2018.0,TRUE
Tulane,31.0,B,A,A,B,A,A,B,B,A,A,2018.0,FALSE
Tulsa,31.0,A,A,B,A,A,B,A,A,A,A,2018.0,TRUE
UCF,32.0,A,B,B,A,B,A,B,A,B,B,2018.0,TRUE
Connecticut,33.0,B,A,B,A,A,B,A,B,A,B,2019.0,FALSE
East Carolina,31.0,B,B,A,B,B,A,B,B,B,B,2019.0,FALSE
Memphis,36.0,A,A,B,A,A,A,A,A,A,B,2019.0,TRUE
SMU,32.0,B,A,A,A,A,B,A,B,A,B,2019.0,FALSE
South Florida,37.0,A,B,B,A,B,A,A,A,B,B,2019.0,TRUE
Tulane,31.0,B,B,A,B,B,A,B,B,B,B,2019.0,FALSE
Tulsa,32.0,A,A,B,A,A,B,B,A,A,B,2019.0,TRUE
Wichita St.,37.0,A,A,B,A,B,B,A,B,B,B,2019.0,TRUE
Florida Gulf Coast,30.0,A,B,B,B,B,B,A,B,B,B,2015.0,TRUE
Jacksonville,29.0,B,B,A,B,B,B,B,A,B,A,2015.0,FALSE
Kennesaw St.,30.0,B,B,A,B,B,A,B,B,B,B,2015.0,FALSE
Lipscomb,28.0,B,B,A,B,B,B,B,A,B,B,2015.0,FALSE
Northern Kentucky,28.0,B,B,A,B,A,B,B,B,A,B,2015.0,FALSE
Stetson,28.0,B,B,A,B,B,B,B,B,B,B,2015.0,FALSE
USC Upstate,32.0,A,B,B,B,B,B,A,B,A,B,2015.0,TRUE
Jacksonville,28.0,B,B,A,B,B,B,B,B,B,A,2016.0,FALSE
Kennesaw St.,29.0,B,B,A,B,B,B,B,B,B,A,2016.0,FALSE
Lipscomb,31.0,B,B,A,B,A,B,B,B,A,A,2016.0,FALSE
NJIT,34.0,A,B,A,B,A,B,B,B,A,A,2016.0,TRUE
North Florida,31.0,A,A,A,A,A,B,B,B,A,A,2016.0,TRUE
Stetson,30.0,B,B,A,B,A,B,B,B,A,A,2016.0,FALSE
USC Upstate,28.0,B,B,A,B,A,A,A,B,B,A,2016.0,FALSE
Jacksonville,29.0,A,B,A,B,A,B,B,B,A,A,2017.0,TRUE
Kennesaw St.,30.0,B,B,A,B,A,A,A,B,B,A,2017.0,FALSE
Lipscomb,30.0,A,A,A,A,A,A,B,A,A,A,2017.0,TRUE
NJIT,29.0,B,B,A,B,B,A,A,B,B,B,2017.0,FALSE
North Florida,30.0,B,B,A,B,A,A,A,B,A,A,2017.0,TRUE
Stetson,29.0,B,B,A,B,A,B,B,B,A,B,2017.0,FALSE
USC Upstate,29.0,A,B,A,B,A,B,A,B,A,A,2017.0,TRUE
Florida Gulf Coast,32.0,A,A,B,A,A,A,A,B,A,A,2018.0,TRUE
Jacksonville,29.0,B,B,A,B,B,A,B,B,B,B,2018.0,TRUE
Kennesaw St.,28.0,B,B,A,B,B,A,B,B,B,A,2018.0,FALSE
NJIT,28.0,B,B,A,B,B,B,A,B,B,A,2018.0,TRUE
North Florida,30.0,B,A,A,B,A,A,B,B,A,A,2018.0,FALSE
Stetson,28.0,B,B,A,B,B,B,B,B,B,B,2018.0,FALSE
USC Upstate,28.0,B,A,A,B,A,B,B,B,A,B,2018.0,FALSE
Florida Gulf Coast,30.0,B,B,A,B,A,A,B,B,A,A,2019.0,FALSE
Jacksonville,30.0,B,B,A,B,B,A,B,B,A,B,2019.0,FALSE
Kennesaw St.,30.0,B,B,A,B,B,A,B,B,B,B,2019.0,FALSE
Lipscomb,35.0,A,A,B,A,A,B,B,A,A,A,2019.0,TRUE
NJIT,34.0,A,B,A,B,A,B,B,A,A,A,2019.0,TRUE
North Alabama,29.0,B,B,A,B,B,A,B,B,B,B,2019.0,FALSE
North Florida,31.0,B,B,A,B,A,A,B,B,A,B,2019.0,TRUE
Stetson,29.0,B,B,A,B,B,B,B,B,B,B,2019.0,FALSE
Illinois,33.0,A,A,B,A,B,B,A,B,B,A,2015.0,TRUE
Michigan,31.0,B,A,B,A,B,B,B,B,B,A,2015.0,FALSE
Minnesota,32.0,A,A,B,A,A,B,A,B,A,A,2015.0,TRUE
Nebraska,31.0,B,B,B,A,B,A,B,A,B,B,2015.0,FALSE
Northwestern,32.0,B,A,B,A,A,B,B,B,B,A,2015.0,FALSE
Penn St.,34.0,A,A,B,A,B,B,B,B,B,B,2015.0,TRUE
Rutgers,32.0,B,B,B,B,B,A,A,B,B,B,2015.0,FALSE
Illinois,34.0,B,A,B,A,A,B,B,B,B,A,2016.0,FALSE
Minnesota,31.0,B,B,B,B,B,B,B,A,B,B,2016.0,FALSE
Nebraska,34.0,B,A,B,A,A,B,A,B,A,A,2016.0,FALSE
Northwestern,32.0,A,A,B,A,A,B,A,B,A,A,2016.0,TRUE
Ohio St.,35.0,A,A,B,A,B,A,A,A,A,B,2016.0,TRUE
Penn St.,32.0,B,B,B,A,B,B,B,B,B,B,2016.0,TRUE
Rutgers,31.0,B,B,A,B,B,A,B,B,B,B,2016.0,FALSE
Illinois,34.0,A,A,B,A,A,B,B,B,B,A,2017.0,TRUE
Indiana,34.0,A,A,B,A,A,A,A,B,A,A,2017.0,TRUE
Iowa,34.0,A,A,B,A,A,B,A,B,A,A,2017.0,TRUE
Nebraska,30.0,B,A,B,A,B,B,A,B,B,B,2017.0,FALSE
Ohio St.,32.0,A,A,B,A,A,A,B,A,A,A,2017.0,TRUE
Penn St.,33.0,B,A,B,A,B,B,B,B,B,B,2017.0,FALSE
Rutgers,32.0,B,B,B,A,B,A,A,B,B,B,2017.0,FALSE
Illinois,31.0,B,A,B,A,B,A,A,B,A,B,2018.0,FALSE
Indiana,31.0,B,A,B,A,A,B,A,A,A,B,2018.0,TRUE
Iowa,33.0,B,A,A,A,A,B,A,B,A,A,2018.0,FALSE
Maryland,31.0,A,A,B,A,A,A,A,A,A,A,2018.0,TRUE
Minnesota,32.0,B,A,B,A,B,B,A,B,B,A,2018.0,FALSE
Nebraska,33.0,A,A,B,A,B,B,A,A,B,A,2018.0,TRUE
Northwestern,31.0,B,A,B,A,B,B,B,B,B,A,2018.0,FALSE
Penn St.,39.0,A,A,B,A,A,B,A,B,A,A,2018.0,TRUE
Rutgers,33.0,B,B,B,A,B,B,A,B,B,B,2018.0,FALSE
Wisconsin,33.0,B,A,B,A,A,B,B,B,A,B,2018.0,FALSE
Illinois,33.0,B,A,B,A,B,B,B,B,B,A,2019.0,FALSE
Indiana,35.0,A,A,B,A,A,B,B,B,A,B,2019.0,TRUE
Nebraska,35.0,A,A,B,A,B,B,B,B,B,B,2019.0,TRUE
Northwestern,32.0,B,B,B,A,B,B,B,B,B,B,2019.0,FALSE
Penn St.,32.0,B,A,B,A,B,B,A,B,B,B,2019.0,FALSE
Rutgers,31.0,B,A,B,A,B,A,A,B,B,B,2019.0,FALSE
Kansas St.,32.0,B,A,B,A,B,A,A,A,B,B,2015.0,FALSE
TCU,33.0,A,A,B,A,B,B,A,A,B,B,2015.0,TRUE
Texas Tech,32.0,B,B,B,A,B,A,A,A,B,B,2015.0,FALSE
Kansas St.,33.0,A,A,B,A,B,A,A,A,B,B,2016.0,TRUE
Oklahoma St.,32.0,B,A,B,A,B,A,B,A,B,B,2016.0,FALSE
TCU,33.0,B,B,B,A,B,A,B,A,B,B,2016.0,FALSE
Oklahoma,31.0,B,A,B,A,B,A,A,A,B,B,2017.0,FALSE
TCU,38.0,A,A,B,A,A,A,A,B,A,A,2017.0,TRUE
Texas,33.0,B,A,B,A,B,A,B,B,A,B,2017.0,FALSE
Texas Tech,32.0,A,A,B,A,A,B,A,B,A,A,2017.0,TRUE
Baylor,33.0,A,A,B,A,A,A,A,B,A,A,2018.0,TRUE
Iowa St.,31.0,B,A,B,A,A,B,B,B,B,A,2018.0,FALSE
Oklahoma St.,36.0,A,A,B,A,B,B,A,B,B,A,2018.0,TRUE
Oklahoma St.,32.0,B,A,B,A,A,B,B,B,B,A,2019.0,FALSE
TCU,37.0,A,A,B,A,A,A,A,B,A,A,2019.0,TRUE
Texas,37.0,A,A,B,A,A,B,B,B,A,A,2019.0,TRUE
West Virginia,36.0,B,A,B,A,B,A,A,A,B,B,2019.0,FALSE
Creighton,33.0,B,A,B,A,B,B,A,A,B,A,2015.0,FALSE
DePaul,32.0,B,A,A,A,A,A,B,A,A,A,2015.0,FALSE
Marquette,32.0,B,A,B,A,B,A,B,B,B,B,2015.0,FALSE
Seton Hall,31.0,B,A,B,A,B,B,A,A,B,A,2015.0,TRUE
Creighton,35.0,A,A,B,A,A,B,B,A,A,A,2016.0,TRUE
DePaul,31.0,B,A,A,B,B,A,A,A,B,B,2016.0,FALSE
Georgetown,33.0,B,A,B,A,A,A,B,A,A,B,2016.0,FALSE
Marquette,33.0,A,A,B,A,A,A,B,A,A,B,2016.0,TRUE
St. John's,31.0,B,B,B,B,B,A,B,A,B,B,2016.0,FALSE
DePaul,32.0,B,B,B,B,B,A,A,B,B,B,2017.0,FALSE
Georgetown,32.0,B,A,B,A,A,A,B,A,A,A,2017.0,FALSE
St. John's,33.0,B,A,B,A,A,B,B,A,B,A,2017.0,FALSE
DePaul,31.0,B,A,B,A,B,A,A,B,B,B,2018.0,FALSE
Georgetown,30.0,B,A,B,A,A,A,A,A,A,A,2018.0,TRUE
Marquette,35.0,A,A,A,A,A,B,B,B,A,A,2018.0,TRUE
St. John's,32.0,B,A,B,A,B,B,B,B,B,B,2018.0,TRUE
Butler,33.0,B,A,B,A,A,B,B,B,A,A,2019.0,FALSE
Creighton,34.0,A,A,B,A,A,B,B,B,A,A,2019.0,TRUE
DePaul,36.0,A,A,A,A,A,A,A,A,A,B,2019.0,TRUE
